value	label
manilkara_zapota	Sapodilla / Chikoo / Sapota
punica_granatum	Pomegranate / Dhanimma / Dalimbe
swietenia_mahagoni	Tropical hardwood/ Mahogany
tectona_grandis	Teak / Teku / tēga
tamarindus_indica	Tamarindo / Chintha / Huṇasehaṇṇu
santalum_album	Sandalwood / Chandanamu chettu / śrīgandhada mara
azadirachta_indica	Neem / Vepa / bēvu
mangifera_indica	Mango / Mamindi / Māvun
citrus_limon	Sweet lime/ Lemon / Nimma / nimbehaṇṇu
syzygium_cumini	Java plum / Neredu / nerelu
pterocarpus_marsupium	Indian kino / Egisa chettu / Egisi mara
ziziphus_mauritiana	Indian jujube / Ber / Regu chettu / bore mara/bore hannu
pongamia_pinnata	Indian beech tree / Kanuga / Vange
sesbania_grandiflora	Hummingbird tree / Aviasa / Agase
hibiscus_rosa_sinensis	Hibiscus / Mandharam / Dasavala
psidium_guajava	Guava / Jama / Bikke
moringa_oleifera	Drumstic tree / Munaga chettu / Nugge mara
annona_squamosa	Custard apple / Sitapalam / Sitaphala
bergera_koenigii	Curry leaf tree / Karivepaku / Karivevina mara
ricinus_communis	Castor oil plant / Amudamu / Kyāsṭar
eucalyptus_globulus	Blue gum tree / Eucalyptus / Neelagiri / Neelagiri
vachellia_nilotica	Babul tree / Tumma / Jali/karijali
terminalia_cuneata	Arjun tree / Matti / Arjun mara
ficus_carica	Anjura / Anjeer
