value	label
ziziphus_jujuba	Wild Ber / Common jujube
dalbergia_sissoo	Shisham / Shisham
bombax_ceiba	Semal / Silk cotton tree
manilkara_zapota	Sapota / Chikoo / Sapodilla
shorea_robusta	Sal / Sal
moringa_oleifera	Sahjan / Horse radish tree
tectona_grandis	Sagwan / Teak
lagerstroemia_parviflora	Pride of India / Small-Flowered Crape Myrtle
ficus_religiosa	Peepal / Sacred fig tree
carica_papaya	Papeeta / Pawpaw
butea_monosperma	Palash / Flame of the forest
citrus_limon	Nimbu / Lemon
azadirachta_indica	Neem / Neem tree
madhuca_longifolia	Mahua / Honey tree
chukrasia_tabularis	Mahoganee / Chittagong wood
litchi_chinensis	Lichi / Lichi
schleichera_oleosa	Kusum / Ceylon Oak
homonoia_riparia	Kroton / Willow-Leaved Water Croton
artocarpus_heterophyllus	Kathal / Jackfruit
pongamia_pinnata	Karanj / Indian beech
trema_orientale	Jeevan / Indian Charcoal-Tree
syzygium_cumini	Jamun / Black plum
ficus_magnoliifolia	Gular / Magnolia-Leaved Fig
gliricidia_sepium	Glirosidiya / Gliricidia
gmelina_arborea	Gamhar / Candahar
senna_tora	Chakod / Sickle senna
ziziphus_mauritiana	Ber / Jujube
ficus_benghalensis	Bargad / Banyan
acacia_auriculiformis	Sonajhuri / Northern black wattle
psidium_guajava	Amrood / Guava
careya_arborea	Kumbhi / Wild guava
phyllanthus_emblica	Amla / Indian gooseberry
mangifera_indica	Aam / Mango
