value	label
other	Other - please specify on next page
lithocarpus_dealbatus	Whitewashed StoneFruit
magnolia_champaca	Titachap / Champa
manihot_esculenta	Tabolchu / Tapioca
pinus_kesiya	Soh-um / Sillong ket / Khasi pine
mangifera_indica	Soh-pieng / Te.gatchu / Mango
myrica_esculenta	Soh-phi / Soph / Box myrtle
psidium_guajava	Soh priam / Komperam / Guava
phyllanthus_emblica	Soh Mylleng / Ambari / Gooseberry
cinnamomum_tamala	Sla tyrpad / Dal chini / Bay leaf
pinus_roxburghii	Shillongket / Chir pine
tectona_grandis	Segun / Teak
prunus_domestica	Plum
magnolia_punduana	Pandua magnolia
azadirachta_indica	Neem
litchi_chinensis	Letchu / Leechee
duabanga_grandiflora	Lampati / Bolchim / Duabanga
citrus_sinensis	Komilla / Sweet Orange
anacardium_occidentale	Kesnat / Cashew
citrus_limon	Kakji / Lemon
elaeocarpus_serratus	Jolpai / Indian Olive
moringa_oleifera	Diengtoh / Sojina / Drumstick tree
castanopsis_tribuloides	Diengsning / Chhakkukhokrol / Tribulus Chestnut
gmelina_arborea	Dieng-lophiang / Gambare / Gamhar
artocarpus_heterophyllus	Dieng soh-phan / Te.brong / Jackfruit
baccaurea_ramiflora	Dieng soh ramdieng / Gasampe / Burmese grape
alnus_nepalensis	Dieng lieng / Alder Tree
prunus_cerasoides	Dieng kaditusoo / Tlaizawng / Wild Himalayan Cherry
shorea_robusta	Dieng blei / Bolsal / Sal
terminalia_chebula	Chirore / Chebulic Myrobalan
tamarindus_indica	Che.eng / Kentili / Tamarind
syzygium_cumini	Chambu / Jamun
exbucklandia_populnea	Chagru / Pipli Tree
schleichera_oleosa	Ceylon oak
schima_wallichii	Boldak / Needlewood Tree
toona_ciliata	Bolbret / Indian mahogany / Puma khasi
parkia_roxburghii	Aoelgap / yongchak / Tree bean
averrhoa_carambola	Amilenga / Star Fruit
aquilaria_malaccensis	Agol / Agarwood
